customer_id,email,full_name,country,created_at,updated_at,marketing_opt_in
CUST0001,user1@example.com,User 1  ,DE,2023-02-13 05:40:50,10/01/2023 17:07,0
CUST0002,user2@example.com,User 2  ,United Arab Emirates,2023-04-06 02:33:27,28/03/2023 16:28,N
CUST0003,user3@example.com,User 3  ,DE,2023-02-09 19:19:27,20/09/2023 19:17,0
CUST0004,user4@example.com,User 4  ,USA,2023-02-03 18:19:43,18/08/2023 07:47,false
CUST0005,user5@example.com,User 5  ,AE,2023-01-12 13:43:48,06/02/2023 09:18,N
CUST0006,user6@example.com,User 6  ,UAE,2023-07-16 06:15:09,22/08/2023 19:13,Y
CUST0007,user7@example.com,User 7  ,USA,2023-03-19 05:18:04,06/10/2023 01:47,0
CUST0008,user8@example.com,User 8  ,DE,2023-07-31 15:13:21,12/06/2023 22:12,N
CUST0009,user9@example.com,User 9  ,US,2023-08-17 20:21:15,19/04/2023 00:55,Y
CUST0010,user10@example.com,User 10  ,Germany,2023-11-09 22:46:47,04/03/2023 00:07,0
CUST0011,user11@example.com,User 11  ,US,2023-05-13 03:21:52,18/04/2023 21:56,N
CUST0012,user12@example.com,User 12  ,UAE,2023-10-24 12:16:51,11/05/2023 17:17,Y
CUST0013,user13@example.com,User 13  ,AE,2023-05-28 13:10:44,07/02/2023 13:27,true
CUST0014,user14@example.com,User 14  ,Germany,2023-05-14 13:53:58,23/08/2023 11:08,true
CUST0015,user15@example.com,User 15  ,Germany,2023-01-17 20:59:14,,0
CUST0016,user16@example.com,User 16  ,US,2023-07-28 06:00:29,18/02/2023 11:27,false
CUST0017,user17@example.com,User 17  ,AE,2023-08-03 09:23:29,24/04/2023 20:37,0
CUST0018,user18@example.com,User 18  ,USA,2023-12-10 21:00:30,01/12/2023 15:41,true
CUST0019,user19@example.com,User 19  ,USA,2023-03-16 16:15:34,01/10/2023 15:05,Y
CUST0020,USER20@EXAMPLE.COM,User 20  ,AE,2023-09-14 19:25:15,30/03/2023 12:09,true
CUST0021,user21@example.com,User 21  ,AE,2023-11-29 04:08:20,01/04/2023 09:46,Y
CUST0022,user22@example.com,User 22  ,US,2023-04-18 22:54:06,26/06/2023 02:05,0
CUST0023,user23@example.com,User 23  ,Germany,2023-05-22 16:28:56,05/03/2023 04:02,true
CUST0024,user24@example.com,User 24  ,United Arab Emirates,2023-03-23 08:44:49,18/09/2023 06:29,true
CUST0025,user25@example.com,User 25  ,DE,2023-12-30 18:15:12,23/09/2023 11:07,0
CUST0026,user26@example.com,User 26  ,AE,2023-08-25 13:30:44,04/09/2023 14:25,N
CUST0027,user27@example.com,User 27  ,USA,2023-10-11 03:57:15,06/04/2023 01:48,N
CUST0028,user28@example.com,User 28  ,US,2023-05-28 08:46:51,15/04/2023 20:05,0
CUST0029,user29@example.com,User 29  ,DE,2023-08-05 07:08:52,27/03/2023 06:57,0
CUST0030,user30@example.com,User 30  ,United Arab Emirates,2023-11-24 07:56:57,,Y
CUST0031,user31@example.com,User 31  ,UAE,2023-11-16 03:45:19,13/01/2023 11:11,true
